,name,modelDate,manufacturer,model,color,imageUrl,brand,description,mileageFromOdometer,sku,vehicleIdentificationNumber,itemReviewed,reviewRating,author,publisher,Price,desc_new,Trim
246,2020 Ford Mustang,2020.0,Ford,Mustang,Blue,//cdnblob.fastly.carvana.io/2002344048/post-large/normalized/zoomcrop/2002344048-edc-02.jpg,Ford,"Used 2020 Ford Mustang EcoBoost with 28022 miles - $29,590",28022.0,2002344048.0,1FA6P8TH6L5129542,,,,," $29,590",2020 Ford Mustang EcoBoost,EcoBoost
247,2020 Ford Mustang,2020.0,Ford,Mustang,White,//cdnblob.fastly.carvana.io/2002350207/post-large/normalized/zoomcrop/2002350207-edc-02.jpg,Ford,"Used 2020 Ford Mustang EcoBoost with 18261 miles - $29,990",18261.0,2002350207.0,1FA6P8TH2L5114732,,,,," $29,990",2020 Ford Mustang EcoBoost,EcoBoost
248,2015 Ford Mustang,2015.0,Ford,Mustang,White,//cdnblob.fastly.carvana.io/2002322432/post-large/normalized/zoomcrop/2002322432-edc-02.jpg,Ford,"Used 2015 Ford Mustang EcoBoost Premium with 72544 miles - $23,590",72544.0,2002322432.0,1FA6P8TH9F5429032,,,,," $23,590",2015 Ford Mustang EcoBoost Premium,EcoBoost Premium
249,2016 Ford Mustang,2016.0,Ford,Mustang,Gray,//cdnblob.fastly.carvana.io/2002301148/post-large/normalized/zoomcrop/2002301148-edc-02.jpg,Ford,"Used 2016 Ford Mustang GT with 27018 miles - $34,990",27018.0,2002301148.0,1FA6P8CF0G5251222,,,,," $34,990",2016 Ford Mustang GT,GT
250,2015 Ford Mustang,2015.0,Ford,Mustang,White,//cdnblob.fastly.carvana.io/2002348943/post-large/normalized/zoomcrop/2002348943-edc-02.jpg,Ford,"Used 2015 Ford Mustang V6 with 48741 miles - $23,990",48741.0,2002348943.0,1FATP8EM0F5393180,,,,," $23,990",2015 Ford Mustang V6,V6
251,2019 Ford Mustang,2019.0,Ford,Mustang,Blue,//cdnblob.fastly.carvana.io/2002346055/post-large/normalized/zoomcrop/2002346055-edc-02.jpg,Ford,"Used 2019 Ford Mustang EcoBoost with 49890 miles - $27,590",49890.0,2002346055.0,1FA6P8THXK5111706,,,,," $27,590",2019 Ford Mustang EcoBoost,EcoBoost
252,2016 Ford Mustang,2016.0,Ford,Mustang,Gray,//cdnblob.fastly.carvana.io/2002334348/post-large/normalized/zoomcrop/2002334348-edc-02.jpg,Ford,"Used 2016 Ford Mustang GT Premium with 17940 miles - $36,990",17940.0,2002334348.0,1FA6P8CF9G5228490,,,,," $36,990",2016 Ford Mustang GT Premium,GT Premium
253,2022 Ford Mustang,2022.0,Ford,Mustang,Black,//cdnblob.fastly.carvana.io/2002326488/post-large/normalized/zoomcrop/2002326488-edc-02.jpg,Ford,"Used 2022 Ford Mustang EcoBoost with 9974 miles - $32,590",9974.0,2002326488.0,1FA6P8TH6N5126739,,,,," $32,590",2022 Ford Mustang EcoBoost,EcoBoost
254,2020 Ford Mustang,2020.0,Ford,Mustang,Black,//cdnblob.fastly.carvana.io/2002340969/post-large/normalized/zoomcrop/2002340969-edc-02.jpg,Ford,"Used 2020 Ford Mustang GT with 7067 miles - $38,990",7067.0,2002340969.0,1FA6P8CF1L5100688,,,,," $38,990",2020 Ford Mustang GT,GT
255,2012 Ford Mustang,2012.0,Ford,Mustang,Blue,//cdnblob.fastly.carvana.io/2002335306/post-large/normalized/zoomcrop/2002335306-edc-02.jpg,Ford,"Used 2012 Ford Mustang Shelby GT500 with 19640 miles - $49,590",19640.0,2002335306.0,1ZVBP8JS3C5214617,,,,," $49,590",2012 Ford Mustang Shelby GT500,Shelby GT500
