,@context,@type,itemCondition,name,modelDate,manufacturer,model,color,imageUrl,brand,description,mileageFromOdometer,sku,vehicleIdentificationNumber,offers,itemListElement,itemReviewed,reviewRating,author,publisher
48,https://schema.org,Vehicle,Used,2017 Ford Mustang,2017,Ford,Mustang,White,//cdnblob.fastly.carvana.io/2002364414/post-large/normalized/zoomcrop/2002364414-edc-02.jpg,Ford,"Used 2017 Ford Mustang V6 with 57073 miles - $24,590",57073,2002364414,1FA6P8AM8H5244568,"{'@type': 'Offer', 'price': 24590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2728815'}",,,,,
49,https://schema.org,Vehicle,Used,2014 Ford Mustang,2014,Ford,Mustang,Red,//cdnblob.fastly.carvana.io/2002319352/post-large/normalized/zoomcrop/2002319352-edc-02.jpg,Ford,"Used 2014 Ford Mustang V6 with 35082 miles - $20,590",35082,2002319352,1ZVBP8AMXE5327453,"{'@type': 'Offer', 'price': 20590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2704151'}",,,,,
50,https://schema.org,Vehicle,Used,2014 Ford Mustang,2014,Ford,Mustang,Black,//cdnblob.fastly.carvana.io/2002273042/post-large/normalized/zoomcrop/2002273042-edc-02.jpg,Ford,"Used 2014 Ford Mustang GT Premium with 14741 miles - $31,590",14741,2002273042,1ZVBP8CF3E5283648,"{'@type': 'Offer', 'price': 31590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2672605'}",,,,,
51,https://schema.org,Vehicle,Used,2021 Ford Mustang,2021,Ford,Mustang,Gray,//cdnblob.fastly.carvana.io/2002317018/post-large/2002317018-edc-02-search.jpg,Ford,"Used 2021 Ford Mustang EcoBoost Premium with 45774 miles - $27,688",45774,2002317018,1FATP8UH3M5120848,"{'@type': 'Offer', 'price': 27688, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2702787'}",,,,,
52,https://schema.org,Vehicle,Used,2022 Ford Mustang,2022,Ford,Mustang,White,//cdnblob.fastly.carvana.io/2002336966/post-large/normalized/zoomcrop/2002336966-edc-02.jpg,Ford,"Used 2022 Ford Mustang Mach 1 with 1406 miles - $55,990",1406,2002336966,1FA6P8R08N5554717,"{'@type': 'Offer', 'price': 55990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2712482'}",,,,,
53,https://schema.org,Vehicle,Used,2016 Ford Mustang,2016,Ford,Mustang,Red,//cdnblob.fastly.carvana.io/2002351115/post-large/normalized/zoomcrop/2002351115-edc-02.jpg,Ford,"Used 2016 Ford Mustang EcoBoost with 45308 miles - $24,990",45308,2002351115,1FA6P8TH7G5220017,"{'@type': 'Offer', 'price': 24990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2718966'}",,,,,
54,https://schema.org,Vehicle,Used,2022 Ford Mustang,2022,Ford,Mustang,Silver,//cdnblob.fastly.carvana.io/2002298134/post-large/2002298134-edc-02-search.jpg,Ford,"Used 2022 Ford Mustang EcoBoost Premium with 24853 miles - $29,689",24853,2002298134,1FA6P8TH9N5106615,"{'@type': 'Offer', 'price': 29689, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2701105'}",,,,,
55,https://schema.org,Vehicle,Used,2019 Ford Mustang,2019,Ford,Mustang,White,//cdnblob.fastly.carvana.io/2002304370/post-large/normalized/zoomcrop/2002304370-edc-02.jpg,Ford,"Used 2019 Ford Mustang EcoBoost Premium with 25586 miles - $27,990",25586,2002304370,1FA6P8TH5K5120507,"{'@type': 'Offer', 'price': 27990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2692757'}",,,,,
56,https://schema.org,Vehicle,Used,2018 Ford Mustang,2018,Ford,Mustang,Orange,//cdnblob.fastly.carvana.io/2002295423/post-large/normalized/zoomcrop/2002295423-edc-02.jpg,Ford,"Used 2018 Ford Mustang GT with 5236 miles - $36,590",5236,2002295423,1FA6P8CF0J5116975,"{'@type': 'Offer', 'price': 36590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2693435'}",,,,,
57,https://schema.org,Vehicle,Used,2019 Ford Mustang,2019,Ford,Mustang,Silver,//cdnblob.fastly.carvana.io/2002290187/post-large/normalized/zoomcrop/2002290187-edc-02.jpg,Ford,"Used 2019 Ford Mustang EcoBoost Premium with 62533 miles - $24,990",62533,2002290187,1FATP8UH0K5170894,"{'@type': 'Offer', 'price': 24990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2688487'}",,,,,
58,https://schema.org,Vehicle,Used,2021 Ford Mustang,2021,Ford,Mustang,Gray,//cdnblob.fastly.carvana.io/2002323034/post-large/normalized/zoomcrop/2002323034-edc-02.jpg,Ford,"Used 2021 Ford Mustang EcoBoost with 4154 miles - $32,990",4154,2002323034,1FA6P8TH2M5146792,"{'@type': 'Offer', 'price': 32990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2704396'}",,,,,
59,https://schema.org,Vehicle,Used,2016 Ford Mustang,2016,Ford,Mustang,Gray,//cdnblob.fastly.carvana.io/2002285021/post-large/normalized/zoomcrop/2002285021-edc-02.jpg,Ford,"Used 2016 Ford Mustang GT Premium with 38940 miles - $30,590",38940,2002285021,1FA6P8CF9G5229591,"{'@type': 'Offer', 'price': 30590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2685945'}",,,,,
60,https://schema.org,Vehicle,Used,2021 Ford Mustang,2021,Ford,Mustang,Silver,//cdnblob.fastly.carvana.io/2002317020/post-large/2002317020-edc-02-search.jpg,Ford,"Used 2021 Ford Mustang EcoBoost Premium with 44934 miles - $27,779",44934,2002317020,1FATP8UH7M5124921,"{'@type': 'Offer', 'price': 27779, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2710808'}",,,,,
61,https://schema.org,Vehicle,Used,2014 Ford Mustang,2014,Ford,Mustang,Black,//cdnblob.fastly.carvana.io/2002315577/post-large/normalized/zoomcrop/2002315577-edc-02.jpg,Ford,"Used 2014 Ford Mustang GT with 40687 miles - $28,590",40687,2002315577,1ZVBP8CF1E5327114,"{'@type': 'Offer', 'price': 28590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2713420'}",,,,,
62,https://schema.org,Vehicle,Used,2015 Ford Mustang,2015,Ford,Mustang,Other,//cdnblob.fastly.carvana.io/2002294194/post-large/normalized/zoomcrop/2002294194-edc-02.jpg,Ford,"Used 2015 Ford Mustang V6 with 70269 miles - $19,990",70269,2002294194,1FA6P8AM2F5331122,"{'@type': 'Offer', 'price': 19990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2686860'}",,,,,
63,https://schema.org,Vehicle,Used,2021 Ford Mustang,2021,Ford,Mustang,White,//cdnblob.fastly.carvana.io/2002345709/post-large/2002345709-edc-02-search.jpg,Ford,"Used 2021 Ford Mustang EcoBoost Premium with 49031 miles - $27,400",49031,2002345709,1FATP8UH7M5124837,"{'@type': 'Offer', 'price': 27400, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2734142'}",,,,,
64,https://schema.org,BreadcrumbList,,,,,,,,,,,,,,"[{'@type': 'ListItem', 'position': 0, 'item': {'@id': 'https://www.carvana.com/cars/undefined', 'name': 'Ford'}}, {'@type': 'ListItem', 'position': 1, 'item': {'@id': 'https://www.carvana.com/cars/undefined', 'name': 'Ford Mustang'}}]",,,,
65,http://schema.org,Review,,,,,,,,,,,,,,,"{'@type': 'Car', 'name': 'Ford Mustang', 'brand': 'Ford', 'model': 'Mustang', 'vehicleModelDate': ''}","{'@type': 'AggregateRating', 'ratingValue': '4.36', 'ratingCount': '636', 'worstRating': '0.17', 'bestRating': '5.00'}","{'@type': 'Organization', 'name': 'Carvana'}","{'@type': 'Organization', 'name': 'Carvana'}"
66,https://schema.org,Vehicle,Used,2016 Ford Mustang,2016,Ford,Mustang,Silver,//cdnblob.fastly.carvana.io/2002360123/post-large/normalized/zoomcrop/2002360123-edc-02.jpg,Ford,"Used 2016 Ford Mustang EcoBoost Premium with 46762 miles - $24,990",46762,2002360123,1FATP8UH5G5295882,"{'@type': 'Offer', 'price': 24990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2729857'}",,,,,
67,https://schema.org,Vehicle,Used,2020 Ford Mustang,2020,Ford,Mustang,Red,//cdnblob.fastly.carvana.io/2002342385/post-large/normalized/zoomcrop/2002342385-edc-02.jpg,Ford,"Used 2020 Ford Mustang EcoBoost Premium with 26526 miles - $30,990",26526,2002342385,1FA6P8TH0L5103728,"{'@type': 'Offer', 'price': 30990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2719162'}",,,,,
68,https://schema.org,Vehicle,Used,2020 Ford Mustang,2020,Ford,Mustang,Green,//cdnblob.fastly.carvana.io/2002361737/post-large/normalized/zoomcrop/2002361737-edc-02.jpg,Ford,"Used 2020 Ford Mustang EcoBoost with 13734 miles - $30,990",13734,2002361737,1FA6P8TH0L5162486,"{'@type': 'Offer', 'price': 30990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2728361'}",,,,,
69,https://schema.org,Vehicle,Used,2014 Ford Mustang,2014,Ford,Mustang,Red,//cdnblob.fastly.carvana.io/2002331819/post-large/normalized/zoomcrop/2002331819-edc-02.jpg,Ford,"Used 2014 Ford Mustang V6 with 35321 miles - $21,590",35321,2002331819,1ZVBP8AM2E5309027,"{'@type': 'Offer', 'price': 21590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2712762'}",,,,,
70,https://schema.org,Vehicle,Used,2014 Ford Mustang,2014,Ford,Mustang,Silver,//cdnblob.fastly.carvana.io/2002353468/post-large/normalized/zoomcrop/2002353468-edc-02.jpg,Ford,"Used 2014 Ford Mustang V6 Premium with 96416 miles - $17,590",96416,2002353468,1ZVBP8AM5E5302458,"{'@type': 'Offer', 'price': 17590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2724515'}",,,,,
